MONTH,DAY,STATION,DIRECTION,TIME_05,TIME_06,TIME_07,TIME_08,TIME_09,TIME_10,TIME_11,TIME_12,TIME_13,TIME_14,TIME_15,TIME_16,TIME_17,TIME_18,TIME_19,TIME_20,TIME_21,TIME_22,TIME_23,TIME_24
1,일,강동,하선,2.3,4.05,4.4,7.55,9.9,13.1,10.65,13.7,14.8,15.2,19.9,22.85,21.5,19.85,16.2,15.5,13.3,12.5,7.2,0
1,일,개롱,상선,4.5,3.65,5.15,8.1,11.45,11.5,10,11.8,10.85,8.75,8.8,7.4,6.9,5.9,3.65,3.85,2.45,2.55,1.15,0
1,일,개롱,하선,0.8,1.65,1.5,3,3.8,5.15,4.4,4,5.9,6.5,6.7,7.05,7.6,8.75,7.75,5.75,6.25,4.9,3.95,0
1,일,거여,상선,3.5,2.65,3.85,5.9,8.5,8.2,7.2,8.35,7.7,6.45,6.55,5.25,5,4.05,2.85,2.75,1.8,1.9,0.9,0
1,일,거여,하선,0.3,0.65,0.75,1.55,2.35,2.8,2.3,1.7,2.35,3,2.9,2.8,3.25,3.5,3.3,2.4,2.65,2.15,1.85,0
1,일,둔촌동,상선,3.8,5.25,7.9,10.8,15,18.4,16.85,22.3,21.8,18.3,19.45,17.65,19.2,15.25,10.85,37.3,14.5,11.2,4.45,0
1,일,둔촌동,하선,3.7,5,5.8,9.2,13.15,16.15,12.05,13.95,17.5,17.2,23.7,28.25,22.1,16.75,14.85,10.65,10.9,8,6.7,0
1,일,마천,상선,1.7,1.35,2.1,3.15,3.95,3.7,3.7,4,3.55,3.1,3.3,2.9,2.45,2.25,1.4,1.4,0.75,0.45,0.5,0
1,일,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,일,방이,상선,4.5,4.5,7.05,10.25,14.8,16.4,14.45,17.65,20.85,14.3,16.8,15.25,15.1,12,8.5,8.4,6.9,7.8,3.7,0
1,일,방이,하선,3,3.65,4.6,7.2,8.8,11,9.15,9.95,12.5,12.55,13.15,13.4,13.1,15.35,13.15,14.55,11.65,8.3,5.95,0
1,일,오금,상선,3,3.15,4.6,6.8,10.3,10.85,9.45,11.95,13.25,9.5,10.95,10.55,9.8,8,5.3,5.15,3.9,4.7,2.5,0
1,일,오금,하선,0.9,1.85,2.1,4,4.95,6.25,5,5.35,7.6,8.05,8.25,9.2,9.35,10.65,9.05,7.5,7.75,6.15,4.8,0
1,일,올림픽공원,상선,3.5,4.7,6.85,9.55,13.4,16.25,14.55,17.95,20.5,14.9,17,16.15,17,13.4,9.35,30.75,11.45,10.3,4.3,0
1,일,올림픽공원,하선,2.9,4.15,4.9,7.8,11,13.65,9.75,10.2,13.4,13,14.55,14.35,13.7,16.15,13.75,15.65,11.95,7.9,6.55,0
1,토,강동,상선,13.6,11.25,19.95,27.8,36.05,37.8,38.7,44.15,37.6,37.8,37.25,39,38.65,22.1,16.75,16.8,22.05,16.8,6.3,0
1,토,강동,하선,6.6,11.55,11.85,20.2,20.25,19.45,22.9,26.5,29.5,31,38.05,43,43.25,41.8,29.6,29.35,27.3,28.7,22.05,0
1,토,개롱,상선,12.1,8.75,13.9,20.3,23.25,21.9,23.15,23.25,21.9,19.5,22.2,22.75,19.3,12.6,6.3,5.45,4.7,4.75,2.1,0
1,토,개롱,하선,1.7,4.15,3.95,8.15,8,7.7,7.6,10.75,12.95,10.8,13.15,15.1,15.3,16.3,13.15,11.15,13.75,11.9,10.45,0
1,토,거여,상선,9.3,6.7,10.05,15.05,16.9,15.85,16.7,16,15.1,13.5,14.2,14.5,11,7.85,4.55,3.75,2.95,3.5,1.15,0
1,토,거여,하선,0.6,1.55,1.65,3.45,3.5,4.1,2.95,4.15,5.2,4.75,5.55,6.4,6.95,6.15,6.1,4.35,5.5,5.45,4,0
1,토,둔촌동,상선,10.8,11.05,16.1,25,27.95,31.8,34.4,37.45,38.4,34.25,38.35,41.8,40.1,28.2,19.3,27.4,49.55,22.8,11.15,0
1,토,둔촌동,하선,8.3,12.4,17.15,25.2,24.6,22.85,24.4,28.5,32.75,30.7,35.15,45.5,41.75,35.75,23.35,19.9,19.7,17.75,16,0
1,토,마천,상선,5.4,3.7,5.15,7.2,7.9,6.9,7.15,6.45,5.9,5.95,5.9,6.35,5.35,3.15,1.55,1.7,0.95,1.3,0.5,0
1,토,마천,하선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,토,방이,상선,10.9,10.3,16,25,26.7,29.5,30.95,34.75,35.5,28.7,33.6,34.85,33.7,25.5,15.5,13.5,14,16.25,8.9,0
1,토,방이,하선,7.2,9.65,14.75,18.1,18.4,15.95,17.05,22.6,25.45,22.3,22.45,29.9,26.3,25.2,20.5,20,27.95,18.75,15.15,0
1,토,오금,상선,7.8,7.25,10.95,17.7,19.05,20.75,22.35,23.45,25.2,19.4,23.35,24.75,23.75,17.95,10.4,8.7,8.15,8.3,6.35,0
1,토,오금,하선,2.2,5.9,6.65,10.25,9.6,9.35,9.8,13.35,16.7,14.3,15.1,20.75,18.8,19.45,15.85,14,16.25,14.1,12.6,0
1,토,올림픽공원,상선,9.2,10.3,14.8,23.15,25.1,28.4,30.55,33.45,36.25,30.95,34,37.2,37.6,27.3,18.05,25.1,49.1,21.6,10.3,0
1,토,올림픽공원,하선,6.6,10.3,14.75,20.8,19.75,17.3,19.5,24.1,26.5,24.65,24.6,32.8,28.55,28.45,21.95,22.2,26,18.05,16.25,0
1,화,강동,상선,24.9,40.2,66.25,92.95,70.1,49.4,40.8,44.15,36.2,33.85,36.65,45.1,44.4,46.6,32.7,22.85,19.8,20.6,11.7,2.95
1,화,강동,하선,8.5,21.9,32.85,61.45,22.05,20.6,27.2,35.05,38.15,38.2,49.05,60.5,65.9,92.4,69.3,54.6,54.25,46.05,30.95,14.9
1,화,개롱,상선,24.9,26.75,64.65,69,42.05,30.55,24.2,26.25,24.2,21.95,21.55,31.5,23.35,26.55,17.45,11.75,10.55,8.85,4.2,1.05
1,화,개롱,하선,1.9,6.65,7.45,20.65,8,7.45,10.8,14.2,16.65,18.15,24.1,32.65,23.25,42.45,35.05,27.55,25.35,25.85,16.05,6.9
